""	"PotGrowth"	"Variable_Size"	"Species"	"Model"	"sizeX0"	"sizeXb"	"alpha"	"beta"	"C"	"D"	"Cprim"	"gamma"	"theta"	"lambdaVec1"	"lambdaVec2"	"lambdaVec3"	"lambdaVec4"	"lambdaVec5"	"lambdaVec6"	"lambdaVec7"	"lambdaVec8"	"lambdaVec9"	"lambdaVec10"	"lambdaVec11"	"lambdaVec12"	"lambdaVec13"	"compX0"	"compXb"	"lambdaVec14"	"lambdaVec15"	"lambdaVec16"	"lambdaVec17"	"lambdaVec18"
"32"	122.9299	"DIA"	"ACPL"	"Model.04a"	12.06117	0.5	0.5	1.838538	NA	0.2959125	433.9164	-0.1131856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	71.54661	"DIA"	"ACPL"	"Model.05a"	12.78552	0.5	0.5004529	1.918133	NA	0.6309389	56.70914	-0.1361624	0.05961883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	70.41958	"DIA"	"ACPL"	"Model.06a"	0.5030684	10.27434	0.5	2.028432	NA	0.5518663	131.2244	-0.4130122	0.04307137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	86.25967	"DIA"	"ACPL"	"Model.07a"	11.49575	0.5	0.5	2.108763	NA	0.5064915	132.153	-0.1875893	0.06347342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	84.46811	"DIA"	"ACPL"	"Model.08a"	0.5	9.555671	0.9329379	0.5102216	NA	0.5828803	277.9936	-0.3927389	NA	0.1308275	1.396024e-08	0.1043443	0.9999984	0.5417026	0.004272836	0.2952548	0.003854571	0.2764877	0.0224965	0.03512923	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	70.4178	"DIA"	"ACPL"	"Model.08b"	22.93359	0.5053478	1.340406	1.174716	NA	3.76681e-62	185.8761	0.6200242	NA	0.204637	-0.1829714	0.9996941	0.4236101	0.1141079	-0.2990053	0.4406559	-0.7581785	0.9986818	-0.2790499	0.04795482	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	70.4175	"DIA"	"ACPL"	"Model.08c"	0.5043439	12.12974	0.799266	0.5	NA	NA	NA	NA	NA	0.1978366	-0.02870263	0.07770921	0.9999984	0.4614394	-0.2863496	0.6836453	0.01605529	1	0.2341031	0.1386257	NA	NA	0.001	20.27934	NA	NA	NA	NA	NA
"39"	105.5381	"DIA"	"ACPL"	"Model.09a"	10.75821	0.5	0.5000035	2.050629	NA	0.4553	220.8208	-0.165355	NA	0.7379574	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	70.4175	"DIA"	"ACPL"	"Model.09b"	1.42068	4.701299	0.5000016	1.924565	NA	0.6397598	46.66348	0.01488448	NA	0.768138	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	70.41753	"DIA"	"ACPL"	"Model.09c"	13.2658	0.5	0.5	1.601173	NA	NA	NA	NA	NA	0.7665235	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	45.66575	NA	NA	NA	NA	NA
"42"	70.42363	"DIA"	"ACPL"	"Model.10a"	39.978	0.5	4	0.5019678	NA	2.634363	1e-12	1.497707	NA	0.0001128937	0.9983279	0.06811381	0.7711591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	70.4175	"DIA"	"ACPL"	"Model.10b"	23.49236	0.5	0.5	1.155909	NA	1	2.487658	0.6851267	NA	0.1335603	0.8212526	0.999991	0.7430792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	70.4175	"DIA"	"ACPL"	"Model.10c"	0.5	17.40068	0.5	1.075361	NA	NA	NA	NA	NA	0.4397337	0.9530204	0.9994881	0.9608876	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09754467	51.49799	NA	NA	NA	NA	NA
"45"	70.4175	"DIA"	"ACPL"	"Model.11a"	12.92697	0.5	0.5	2.136457	NA	0.7615568	58.36545	-0.03272237	NA	0.3145503	0.5896277	0.3623954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	70.4177	"DIA"	"ACPL"	"Model.11b"	11.75145	0.8844763	3.495114	1.586993	NA	1.080745e-21	165.6675	0.7079776	NA	0.9822906	-0.7479079	0.5306065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	70.4175	"DIA"	"ACPL"	"Model.11c"	14.48053	0.5000001	0.5001677	1.627986	NA	NA	NA	NA	NA	0.5750167	1	0.7290882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	34.76646	NA	NA	NA	NA	NA
"48"	80.39711	"DIA"	"ACPL"	"Model.12a"	0.5138429	13.48639	0.5000002	0.5	NA	0.711255	199.1527	-0.1141888	0.03132364	0.1293344	1.855302e-16	3.124352e-09	0.6790398	0.1727231	4.176864e-07	0.4029825	2.321418e-05	0.3479247	3.283523e-06	0.0292104	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	70.4175	"DIA"	"ACPL"	"Model.12b"	11.11491	0.6835917	0.5	0.5	NA	0.2239569	266.7624	0.2365126	-0.009761257	0.1670598	-0.3176643	0.7356944	1	0.9999988	-1	0.9711102	-0.0433188	0.8947486	0.03604741	-0.07047097	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	70.4175	"DIA"	"ACPL"	"Model.12c"	0.5	15.18042	0.5	0.5	NA	NA	NA	NA	NA	0.2367262	0.1105788	0.03590045	1	0.5005924	-0.4712809	0.7074453	0.03288315	0.9999993	0.07862849	0.1473644	NA	NA	0.001	13.89237	NA	NA	NA	NA	NA
"51"	70.4175	"DIA"	"ACPL"	"Model.13a"	33.49749	0.5	0.5	1.963601	NA	3	9.371039e-05	1.923341	1.321104	0.4308754	0.7383372	0.868083	0.9998026	1	8.869308e-07	0.1112144	0.0003263191	0.2895997	1.926524e-07	0.002124645	NA	NA	NA	NA	NA	NA	NA	NA	NA
